Model,Accuracy,Precision,Sensitivity,Specificity,F1-Score,AUC-ROC
Logistic Regression,0.9691,0.9643,0.9558,0.9775,0.96,0.9939
MLP Neural Net,0.9794,0.9735,0.9735,0.9831,0.9735,0.9935
Gradient Boosting,0.9828,0.9909,0.9646,0.9944,0.9776,0.9935
XGBoost,0.9759,0.9732,0.9646,0.9831,0.9689,0.9932
LightGBM,0.9794,0.982,0.9646,0.9888,0.9732,0.9926
AdaBoost,0.9759,0.9732,0.9646,0.9831,0.9689,0.9916
SVM (RBF),0.9897,1.0,0.9735,1.0,0.9865,0.991
Stacking Ensemble,0.9828,0.9909,0.9646,0.9944,0.9776,0.9856
KNN,0.9828,0.9909,0.9646,0.9944,0.9776,0.9844
Random Forest,0.9759,0.9818,0.9558,0.9888,0.9686,0.9833
Decision Tree,0.9416,0.9364,0.9115,0.9607,0.9238,0.9167
