Model,Accuracy,Precision,Sensitivity,Specificity,F1-Score,NPV,AUC-ROC,Avg Precision,CV Acc Mean,CV Acc Std,Train Time (s)
LightGBM,0.9878,0.9739,0.9912,0.9861,0.9825,0.9953,0.9996,0.9992,0.9880464676244747,0.00339195970066514,12.28
Gradient Boosting,0.9939,0.9912,0.9912,0.9954,0.9912,0.9954,0.9996,0.9993,0.9887109194517173,0.005399672989328254,11.54
Random Forest,0.9909,0.9825,0.9912,0.9907,0.9868,0.9953,0.9995,0.999,0.9814063496952763,0.003394590301619627,3.56
AdaBoost,0.9848,0.9655,0.9912,0.9815,0.9782,0.9953,0.9993,0.9987,0.9800730456975645,0.005571039592606391,3.11
Stacking Ensemble,0.9878,0.9739,0.9912,0.9861,0.9825,0.9953,0.9993,0.9988,0.0,0.0,11.69
XGBoost,0.9909,0.9825,0.9912,0.9907,0.9868,0.9953,0.9992,0.9985,0.9867175639699898,0.002978918616405297,2.84
Extra Trees,0.9878,1.0,0.9646,1.0,0.982,0.9818,0.9989,0.9981,0.9867197641416032,0.002101254890675468,2.15
MLP Neural Net,0.9818,0.9735,0.9735,0.9861,0.9735,0.9861,0.9988,0.9979,0.9761061362786296,0.008194580451167737,1.36
SVM (RBF),0.9605,0.931,0.9558,0.963,0.9432,0.9765,0.997,0.9946,0.9880464676244747,0.006512305794551705,0.33
Logistic Regression,0.9574,0.9231,0.9558,0.9583,0.9391,0.9764,0.9961,0.9931,0.9727816769708036,0.007062764724186944,5.91
KNN,0.9696,0.9478,0.9646,0.9722,0.9561,0.9813,0.9918,0.9888,0.9787463422146928,0.00617327537239667,0.22
Decision Tree,0.9422,0.9123,0.9204,0.9537,0.9163,0.9581,0.9356,0.867,0.9535037732943168,0.011916210704926124,3.67
